[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Ram,[25]-CPU Rank,[26]-GPU Rank,[27]-Matrix Size,[28]-Speed up
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10579, 113.04955666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10591, 103.89045666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10606, 104.95307333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10614, 101.36653
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10621, 107.50850666666669
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10622, 93.5009
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10724, 93.4882
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10728, 67.68960666666668
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10733, 114.81891666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10808, 72.48796333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10833, 118.09527333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10892, 88.71289666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10894, 107.49973666666668
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10917, 126.80858333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10923, 146.98532666666665
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10941, 113.12688
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10959, 123.51030333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10977, 126.20556333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 10984, 74.93615
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11000, 75.16998
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11001, 115.42064333333336
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11002, 107.49352333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11012, 99.76105666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11017, 120.92650666666668
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11056, 67.07764999999999
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11059, 122.67089
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11081, 124.00980666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11087, 121.16761
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11119, 126.37892999999998
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11135, 123.62872999999999
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11144, 78.42684333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11161, 126.98879000000001
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11175, 126.28445333333335
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11190, 116.14679000000001
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11200, 82.43645
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11250, 112.84633333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11289, 120.90766333333336
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11351, 134.51963333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11367, 128.97409
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11369, 131.20350666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11385, 127.39303666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11401, 128.82441666666668
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11429, 132.40149333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11430, 124.20058333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11457, 131.27362666666664
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11477, 131.25907333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11481, 133.4919766666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11497, 116.28992333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11500, 102.37064333333335
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11587, 130.98940666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11604, 106.85149
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11608, 83.11502666666665
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11712, 91.71576666666665
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11753, 133.76946
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11780, 106.47182333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11790, 130.79526666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11792, 78.73814
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11794, 129.51464
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11796, 120.79568
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11867, 134.37339666666665
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11990, 134.39306333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 11998, 135.31262666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12000, 87.29680666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12026, 130.27022666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12040, 88.94282333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12052, 121.84541999999999
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12063, 149.61813
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12090, 137.31227666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12125, 149.42540666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12129, 142.3528433333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12151, 113.60407333333333
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12189, 129.02253333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12191, 120.68587666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12211, 118.15646666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12216, 92.29854
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12287, 167.59149333333332
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12392, 96.14357333333334
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12407, 157.13573
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12413, 155.17228333333335
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12485, 152.02805666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12500, 125.02409
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12540, 128.54053666666667
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12543, 160.58732999999998
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12545, 153.47963666666666
1, 3, 0, 2, 1, 1, 4, 3, 0, 0, 1, 1, 4, 0, 0, 2, 4, 4, 27, 10, 17, 0, 0, 8, 2000, 1000, 12642, 147.94288
1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 4, 1, 10, 0, 4, 0, 0, 8, 2000, 1000, 10000, 0.30119549999999995
